file,ref_col,pred_col,n_pairs,ROUGE-1,ROUGE-2,ROUGE-L,SBERT,BERTScore_P,BERTScore_R,BERTScore_F1
/Users/Yuki/Prj_multi_agent_git/Metagente-ollama/METAGENTE/result/parallel/03/Mistral_1_03.csv,description_short,generated_about,600,0.380 ± 0.166,0.147 ± 0.155,0.318 ± 0.156,0.656 ± 0.139,0.622 ± 0.082,0.630 ± 0.089,0.625 ± 0.080
/Users/Yuki/Prj_multi_agent_git/Metagente-ollama/METAGENTE/result/parallel/03/Mistral_2_03.csv,description_short,generated_about,600,0.363 ± 0.150,0.127 ± 0.129,0.295 ± 0.135,0.662 ± 0.137,0.591 ± 0.072,0.648 ± 0.087,0.617 ± 0.074
/Users/Yuki/Prj_multi_agent_git/Metagente-ollama/METAGENTE/result/parallel/03/Mistral_3_03.csv,description_short,generated_about,600,0.398 ± 0.171,0.162 ± 0.160,0.332 ± 0.160,0.664 ± 0.139,0.631 ± 0.086,0.647 ± 0.098,0.638 ± 0.087
MACRO across files,-,-,1800,0.380 ± 0.017,0.146 ± 0.018,0.315 ± 0.018,0.661 ± 0.004,0.615 ± 0.021,0.642 ± 0.010,0.627 ± 0.010
