metric,baseline,system,baseline_mean,system_mean,mean_diff,t_stat,t_p,cohens_dz,wilcoxon_stat,wilcoxon_p,rank_biserial_r,t_p_holm,wilcoxon_p_holm
rouge2,T5,Metagente,0.15450337790312016,0.17025472682392423,-0.015751348920804095,-1.8120440580819206,0.07047999520826852,-0.0739763888957145,49749.5,0.0037020643087815777,-0.15226207719178667,0.07047999520826852,0.06723267525269176
rougeL,BART_Pretrain,Metagente,0.23961844322429027,0.33321853923196443,-0.09360009600767417,-12.010680561504026,6.300769367566085e-30,-0.49033398065415684,40040.5,2.8871023081010597e-31,-0.5498690319606984,1.4879907595298491e-12,5.93193890453621e-16
rougeL,BART_XSUM,Metagente,0.25606557007410985,0.33321853923196443,-0.07715296915785458,-9.347512947426486,1.7571051435468764e-19,-0.3816106180875688,46339.5,6.353446250501409e-23,-0.4684160715822077,1.4879907595298491e-12,5.93193890453621e-16
rougeL,GPT-4o,Metagente,0.17103261020279872,0.33321853923196443,-0.16218592902916573,-22.78357667270117,3.1565744087784445e-83,-0.9301356227282601,11978.0,4.949771501047747e-75,-0.8657949726335131,1.4879907595298491e-12,5.93193890453621e-16
rougeL,Gemma,Metagente,0.24731238531462557,0.33321853923196443,-0.08590615391733894,-10.758121283596557,8.456966065061373e-25,-0.4391984622631194,43611.5,2.6195854564875254e-27,-0.5113639546674286,1.4879907595298491e-12,5.93193890453621e-16
rougeL,Llama,Metagente,0.17087013830239509,0.33321853923196443,-0.16234840092956937,-21.531606537563018,1.3569632217794887e-76,-0.8790241559900639,14942.0,9.899991861918833e-70,-0.833144426887622,1.4879907595298491e-12,5.93193890453621e-16
rougeL,Mistral,Metagente,0.04948182295645973,0.33321853923196443,-0.28373671627550473,-36.734017137743585,1.4928999161871346e-155,-1.4996599698354065,565.5,6.732028940620313e-98,-0.9936213411539112,1.4879907595298491e-12,5.93193890453621e-16
rougeL,Pegasus_Pretrain,Metagente,0.20052430070034144,0.33321853923196443,-0.13269423853162302,-14.439882622786637,8.984721390942537e-41,-0.5895057395251487,29040.0,2.1396991099495204e-45,-0.6702267191305977,1.4879907595298491e-12,5.93193890453621e-16
rougeL,Pegasus_XSUM,Metagente,0.25906559337880697,0.33321853923196443,-0.07415294585315751,-8.398324768974813,3.2858557332927527e-16,-0.34286017296942856,50960.0,3.528884706438069e-18,-0.4134269517423959,1.4879907595298491e-12,5.93193890453621e-16
rougeL,T5,Metagente,0.2698714738490503,0.33321853923196443,-0.06334706538291418,-7.229177513377712,1.4879907595298491e-12,-0.2951299361296251,54714.5,5.93193890453621e-16,-0.38283796740172577,1.4879907595298491e-12,5.93193890453621e-16
bertscore_f1,BART_Pretrain,Metagente,0.6012529313067595,0.6393710286418597,-0.03811809733510017,-9.634599235088757,1.6033450339529166e-20,-0.39333086670294276,49821.5,2.230779843344018e-21,-0.44734886300610094,2.898842887611713e-08,9.26595916457669e-07
bertscore_f1,BART_XSUM,Metagente,0.6136860810220242,0.6393710286418597,-0.025684947619835537,-6.16842347334334,1.2697543555521165e-09,-0.25182483378495824,62170.0,6.472200591490004e-11,-0.30806900389538117,2.898842887611713e-08,9.26595916457669e-07
bertscore_f1,GPT-4o,Metagente,0.5696663988629976,0.6393710286418597,-0.06970462977886199,-19.365843441764397,3.021916675968365e-65,-0.7906072478491128,21553.0,1.1676502597524088e-58,-0.7609206877426511,2.898842887611713e-08,9.26595916457669e-07
bertscore_f1,Gemma,Metagente,0.5803704749544462,0.6393710286418597,-0.05900055368741353,-14.810521144937931,1.6248980924947375e-42,-0.6046369938299806,32615.0,8.574236898826304e-42,-0.6382140876317249,2.898842887611713e-08,9.26595916457669e-07
bertscore_f1,Llama,Metagente,0.5234337752560775,0.6393710286418597,-0.11593725338578224,-26.20781757741365,1.929512215890536e-101,-1.0699296722767901,8489.0,2.3464718602490747e-82,-0.905834719911259,2.898842887611713e-08,9.26595916457669e-07
bertscore_f1,Mistral,Metagente,0.44612742826342583,0.6393710286418597,-0.19324360037843386,-32.031555171134144,6.303522496887336e-132,-1.3076827639514423,659.0,1.6007677869765635e-98,-0.9926899611758181,2.898842887611713e-08,9.26595916457669e-07
bertscore_f1,Pegasus_Pretrain,Metagente,0.5729845176637173,0.6393710286418597,-0.06638651097814242,-13.686118647544289,2.6995869820986094e-37,-0.5587334540945552,35547.5,8.181635123980176e-38,-0.6056849694952856,2.898842887611713e-08,9.26595916457669e-07
bertscore_f1,Pegasus_XSUM,Metagente,0.613822281062603,0.6393710286418597,-0.025548747579256695,-5.6218548046350705,2.898842887611713e-08,-0.22951126132283223,69059.0,9.26595916457669e-07,-0.23139677239844184,2.898842887611713e-08,9.26595916457669e-07
bertscore_f1,T5,Metagente,0.5710153624912103,0.6393710286418597,-0.06835566615064939,-15.020064538231582,1.646966718973344e-43,-0.6131915670389935,30653.0,1.4310594270444838e-44,-0.6599778147531892,2.898842887611713e-08,9.26595916457669e-07
semantic_bert_cosine,BART_Pretrain,Metagente,0.6667825296831628,0.6493678524903953,0.01741467719276746,2.881986323255465,0.004093398661041634,0.11765659896092777,76300.0,0.0017189951847986099,0.14796678968849977,0.37408132878783606,0.12255334651136876
semantic_bert_cosine,BART_XSUM,Metagente,0.5852579408014814,0.6493678524903953,-0.0641099116889139,-9.30711731720211,2.4506519302074795e-19,-0.3799614733894376,54389.0,5.825762674355999e-17,-0.39466889259877574,0.37408132878783606,0.12255334651136876
semantic_bert_cosine,GPT-4o,Metagente,0.6612219912015522,0.6493678524903953,0.011854138711156944,2.262598951700106,0.02401773499901648,0.09237021540368968,79362.0,0.011098511122601133,0.11966722129783694,0.37408132878783606,0.12255334651136876
semantic_bert_cosine,Gemma,Metagente,0.6600081869711478,0.6493678524903953,0.010640334480752548,1.8802967863707298,0.06055263903922479,0.07676279486005459,83275.0,0.10556993033179794,0.07626178591236828,0.37408132878783606,0.10556993033179794
semantic_bert_cosine,Llama,Metagente,0.6548241786068926,0.6493678524903953,0.005456326116497316,0.8895189630020495,0.37408132878783606,0.03631445959807749,82200.0,0.06127667325568438,0.08818635607321132,0.37408132878783606,0.12255334651136876
semantic_bert_cosine,Mistral,Metagente,0.1419832671045636,0.6493678524903953,-0.5073845853858316,-69.24098617455422,4.8648022309964496e-288,-2.826751423579374,20.0,6.607811452235313e-100,-0.9997781475318913,0.37408132878783606,0.12255334651136876
semantic_bert_cosine,Pegasus_Pretrain,Metagente,0.5638294636380549,0.6493678524903953,-0.08553838885234048,-10.031343077216293,5.389654157070501e-22,-0.40952786623300586,52762.5,1.3521930901235412e-18,-0.4147254575707155,0.37408132878783606,0.12255334651136876
semantic_bert_cosine,Pegasus_XSUM,Metagente,0.5751493787113577,0.6493678524903953,-0.07421847377903759,-9.477272862211697,5.99278538836333e-20,-0.3869080444257487,54435.0,6.387505913122481e-17,-0.3941569282136895,0.37408132878783606,0.12255334651136876
semantic_bert_cosine,T5,Metagente,0.5800298167268435,0.6493678524903953,-0.0693380357635518,-9.075975180389849,1.6114882457245736e-18,-0.3705251351686607,55982.0,8.736435578025566e-16,-0.37901275651691624,0.37408132878783606,0.12255334651136876
