metric,baseline,system,baseline_mean,system_mean,mean_diff,t_stat,t_p,cohens_dz,wilcoxon_stat,wilcoxon_p,rank_biserial_r,t_p_holm,wilcoxon_p_holm
rouge1,BART_Pretrain,Metagente,0.28128792795073837,0.38954299333647663,-0.10825506538573824,-13.359278708252507,8.12344249093295e-36,-0.5453902694474371,36958.0,4.125158661768254e-35,-0.5845221633896552,4.671169647638528e-16,2.2848465463348413e-17
rouge1,BART_XSUM,Metagente,0.306552163488835,0.38954299333647663,-0.0829908298476416,-9.75117343415752,5.976212131692688e-21,-0.39808998845114435,46675.0,3.5446615219126786e-22,-0.4609218899784022,4.671169647638528e-16,2.2848465463348413e-17
rouge1,GPT-4o,Metagente,0.22216856889798425,0.38954299333647663,-0.16737442443849243,-22.73947412484959,5.412952453654412e-83,-0.9283351437517093,14855.0,2.8180334856502643e-69,-0.832440358693813,4.671169647638528e-16,2.2848465463348413e-17
rouge1,Gemma,Metagente,0.2861446402623339,0.38954299333647663,-0.10339835307414279,-13.045123942744064,2.0552111089590373e-34,-0.5325649548514474,37313.5,1.930049913472257e-34,-0.5791156731148835,4.671169647638528e-16,2.2848465463348413e-17
rouge1,Llama,Metagente,0.19919618320393734,0.38954299333647663,-0.1903468101325393,-24.397741650122605,8.18176822259444e-92,-0.9960336319841542,12385.0,2.905555472015776e-74,-0.8612348251850109,4.671169647638528e-16,2.2848465463348413e-17
rouge1,Mistral,Metagente,0.057822667159124506,0.38954299333647663,-0.33172032617735214,-41.891773239842294,3.6664772219734586e-180,-1.710224480966542,489.0,4.5864149646712525e-98,-0.9944842366476792,4.671169647638528e-16,2.2848465463348413e-17
rouge1,Pegasus_Pretrain,Metagente,0.24305330685284948,0.38954299333647663,-0.1464896864836272,-15.817285064198424,2.3966859533850703e-47,-0.64573795872386,28249.0,3.153205010452216e-47,-0.6824277989500073,4.671169647638528e-16,2.2848465463348413e-17
rouge1,Pegasus_XSUM,Metagente,0.3090345049847913,0.38954299333647663,-0.08050848835168538,-8.779755969797227,1.7109305704873788e-17,-0.3584320365359614,52053.0,2.2848465463348413e-17,-0.4028736126645444,4.671169647638528e-16,2.2848465463348413e-17
rouge1,T5,Metagente,0.31512598775298223,0.38954299333647663,-0.07441700558349441,-8.352043400860444,4.671169647638528e-16,-0.3409707440281265,52345.0,7.545874247602883e-18,-0.4075771722830546,4.671169647638528e-16,2.2848465463348413e-17
rouge2,BART_Pretrain,Metagente,0.15273020747152283,0.17025472682392423,-0.017524519352401395,-2.200424466535995,0.02815775455035082,-0.08983195267581778,67661.5,0.06723267525269176,-0.09047955103000975,0.07047999520826852,0.06723267525269176
rouge2,BART_XSUM,Metagente,0.11629784414382338,0.17025472682392423,-0.053956882680100855,-6.412039441381606,2.913628580105165e-10,-0.26177041403309037,32492.5,2.0833433571966384e-14,-0.4078599675614601,0.07047999520826852,0.06723267525269176
rouge2,GPT-4o,Metagente,0.07639275951642537,0.17025472682392423,-0.09386196730749888,-13.300646647174325,1.4892499724968399e-35,-0.5429966255772829,24119.0,1.6331137167660887e-37,-0.646615825293217,0.07047999520826852,0.06723267525269176
rouge2,Gemma,Metagente,0.14793327133863932,0.17025472682392423,-0.022321455485284927,-2.776769059439347,0.005661966458591269,-0.11336112215290622,60715.5,0.007676538159360862,-0.13378036166494275,0.07047999520826852,0.06723267525269176
rouge2,Llama,Metagente,0.10141230830589017,0.17025472682392423,-0.06884241851803406,-8.980662161842293,3.4682492122494392e-18,-0.3666339974805617,43953.0,1.9548795661680826e-16,-0.4070021586616298,0.07047999520826852,0.06723267525269176
rouge2,Mistral,Metagente,0.001362605564652399,0.17025472682392423,-0.16889212125927183,-21.76585107834291,7.840802614088776e-78,-0.8885871493224522,13.0,3.373440274514222e-70,-0.9997030980575762,0.07047999520826852,0.06723267525269176
rouge2,Pegasus_Pretrain,Metagente,0.0957474974349941,0.17025472682392423,-0.07450722938893013,-8.06002021322017,4.1535183668439434e-15,-0.32904894731513146,35796.0,1.1218746634511844e-17,-0.439658748483544,0.07047999520826852,0.06723267525269176
rouge2,Pegasus_XSUM,Metagente,0.12919004685939883,0.17025472682392423,-0.04106467996452542,-4.64299764724184,4.222802681212141e-06,-0.18954958521142193,38938.5,1.2573145472903392e-08,-0.30235245637295305,0.07047999520826852,0.06723267525269176
