file,ref_col,pred_col,n_pairs,ROUGE-1,ROUGE-2,ROUGE-L,SBERT,BERTScore_P,BERTScore_R,BERTScore_F1
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/OG_1_600.csv,Description,Generated About,600,0.390 ± 0.186,0.170 ± 0.190,0.333 ± 0.184,0.649 ± 0.150,0.637 ± 0.094,0.646 ± 0.105,0.639 ± 0.093
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/OG_2_600.csv,description_short,generated_about,600,0.373 ± 0.164,0.139 ± 0.148,0.313 ± 0.153,0.647 ± 0.141,0.621 ± 0.084,0.617 ± 0.090,0.617 ± 0.082
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/OG_3_600.csv,description_short,generated_about,600,0.410 ± 0.192,0.188 ± 0.203,0.352 ± 0.191,0.664 ± 0.153,0.648 ± 0.100,0.646 ± 0.107,0.645 ± 0.098
MACRO across files,-,-,1800,0.391 ± 0.018,0.166 ± 0.025,0.333 ± 0.020,0.653 ± 0.009,0.635 ± 0.014,0.636 ± 0.017,0.634 ± 0.015
