file,ref_col,pred_col,n_pairs,ROUGE-1,ROUGE-2,ROUGE-L,SBERT,BERTScore_P,BERTScore_R,BERTScore_F1
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/10/OG_1.csv,description_short,generated_about,600,0.396 ± 0.176,0.166 ± 0.178,0.336 ± 0.174,0.660 ± 0.146,0.632 ± 0.095,0.621 ± 0.099,0.625 ± 0.091
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/10/OG_2.csv,description_short,generated_about,600,0.395 ± 0.170,0.159 ± 0.166,0.329 ± 0.163,0.662 ± 0.141,0.627 ± 0.089,0.633 ± 0.097,0.628 ± 0.087
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/10/OG_3.csv,description_short,generated_about,600,0.414 ± 0.190,0.189 ± 0.200,0.353 ± 0.190,0.668 ± 0.147,0.643 ± 0.100,0.640 ± 0.106,0.639 ± 0.097
MACRO across files,-,-,1800,0.402 ± 0.011,0.171 ± 0.016,0.339 ± 0.012,0.663 ± 0.004,0.634 ± 0.008,0.631 ± 0.009,0.631 ± 0.008
