file,ref_col,pred_col,n_pairs,ROUGE-1,ROUGE-2,ROUGE-L,SBERT,BERTScore_P,BERTScore_R,BERTScore_F1
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/03/OG_1_03.csv,description_short,generated_about,600,0.397 ± 0.173,0.164 ± 0.170,0.331 ± 0.169,0.656 ± 0.141,0.631 ± 0.089,0.641 ± 0.095,0.634 ± 0.087
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/03/OG_2_03.csv,description_short,generated_about,600,0.402 ± 0.174,0.170 ± 0.178,0.338 ± 0.169,0.666 ± 0.147,0.640 ± 0.088,0.658 ± 0.102,0.648 ± 0.090
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/03/OG_3_03.csv,description_short,generated_about,600,0.409 ± 0.189,0.181 ± 0.198,0.347 ± 0.189,0.663 ± 0.150,0.641 ± 0.099,0.650 ± 0.106,0.644 ± 0.097
MACRO across files,-,-,1800,0.403 ± 0.006,0.172 ± 0.009,0.339 ± 0.008,0.661 ± 0.005,0.637 ± 0.006,0.650 ± 0.009,0.642 ± 0.007
