repo_url,n_stars,n_issues,n_pulls,n_commits,n_forks,checkstyle_url
https://github.com/TheAlgorithms/Java,60361,5,4,2671,19527,https://github.com/TheAlgorithms/Java/blob/master/checkstyle.xml
https://github.com/redisson/redisson,23466,368,42,10038,5385,https://github.com/redisson/redisson/blob/master/checkstyle.xml
https://github.com/Tencent/tinker,17200,534,14,853,3339,https://github.com/Tencent/tinker/blob/dev/checkstyle.xml
https://github.com/Konloch/bytecode-viewer,14746,85,4,1448,1153,https://github.com/Konloch/bytecode-viewer/blob/master/checkstyle.xml
https://github.com/orhanobut/logger,13841,81,11,146,2142,https://github.com/orhanobut/logger/blob/master/checkstyle.xml
https://github.com/zhihu/Matisse,12528,466,57,223,2065,https://github.com/zhihu/Matisse/blob/master/checkstyle.xml
https://github.com/Tencent/VasSonic,11830,44,2,372,1610,https://github.com/Tencent/VasSonic/blob/master/checkstyle.xml
https://github.com/lingochamp/FileDownloader,11053,181,10,834,2205,https://github.com/lingochamp/FileDownloader/blob/master/checkstyle.xml
https://github.com/wildfirechat/im-server,7966,12,9,2357,1804,https://github.com/wildfirechat/im-server/blob/wildfirechat/checkstyle.xml
https://github.com/apache/iotdb,5659,503,163,11818,1031,https://github.com/apache/iotdb/blob/master/checkstyle.xml
https://github.com/orhanobut/dialogplus,4995,54,1,183,792,https://github.com/orhanobut/dialogplus/blob/master/checkstyle.xml
https://github.com/apache/nifi,4979,14,14,10410,2718,https://github.com/apache/nifi/blob/main/checkstyle.xml
https://github.com/runelite/runelite,4850,2099,661,14197,5258,https://github.com/runelite/runelite/blob/master/checkstyle.xml
https://github.com/jindrapetrik/jpexs-decompiler,4642,0,0,7864,661,https://github.com/jindrapetrik/jpexs-decompiler/blob/master/checkstyle.xml
https://github.com/HotBitmapGG/bilibili-android-client,4492,9,0,488,1482,https://github.com/HotBitmapGG/bilibili-android-client/blob/master-x/checkstyle.xml
https://github.com/airbnb/DeepLinkDispatch,4388,56,2,358,404,https://github.com/airbnb/DeepLinkDispatch/blob/master/checkstyle.xml
https://github.com/Jacksgong/JKeyboardPanelSwitch,4186,62,1,195,687,https://github.com/Jacksgong/JKeyboardPanelSwitch/blob/master/checkstyle.xml
https://github.com/orhanobut/hawk,3984,49,6,281,390,https://github.com/orhanobut/hawk/blob/master/checkstyle.xml
https://github.com/LibrePDF/OpenPDF,3651,144,9,1612,599,https://github.com/LibrePDF/OpenPDF/blob/master/checkstyle.xml
https://github.com/dariuszseweryn/RxAndroidBle,3455,60,4,1007,586,https://github.com/dariuszseweryn/RxAndroidBle/blob/master/checkstyle.xml
https://github.com/BruceEckel/OnJava8-Examples,3093,18,3,555,1155,https://github.com/BruceEckel/OnJava8-Examples/blob/master/checkstyle.xml
https://github.com/Tencent/VasDolly,3087,21,3,135,389,https://github.com/Tencent/VasDolly/blob/master/checkstyle.xml
https://github.com/pedrovgs/Algorithms,2790,29,27,427,798,https://github.com/pedrovgs/Algorithms/blob/master/checkstyle.xml
https://github.com/tdebatty/java-string-similarity,2698,13,1,245,415,https://github.com/tdebatty/java-string-similarity/blob/master/checkstyle.xml
https://github.com/spotify/docker-maven-plugin,2666,21,11,924,575,https://github.com/spotify/docker-maven-plugin/blob/master/checkstyle.xml
https://github.com/square/keywhiz,2623,46,11,1940,216,https://github.com/square/keywhiz/blob/master/checkstyle.xml
https://github.com/FabricMC/fabric,2401,188,50,1892,420,https://github.com/FabricMC/fabric/blob/1.21.4/checkstyle.xml
https://github.com/alexvasilkov/GestureViews,2379,11,1,432,386,https://github.com/alexvasilkov/GestureViews/blob/master/checkstyle.xml
https://github.com/moquette-io/moquette,2322,116,21,1457,821,https://github.com/moquette-io/moquette/blob/main/checkstyle.xml
https://github.com/airsonic/airsonic,2008,432,68,1572,238,https://github.com/airsonic/airsonic/blob/master/checkstyle.xml
https://github.com/zhp8341/flink-streaming-platform-web,1808,32,5,217,679,https://github.com/zhp8341/flink-streaming-platform-web/blob/master/checkstyle.xml
https://github.com/iqiyi/Qigsaw,1681,39,3,310,268,https://github.com/iqiyi/Qigsaw/blob/master/checkstyle.xml
https://github.com/alexvasilkov/FoldableLayout,1655,9,1,59,355,https://github.com/alexvasilkov/FoldableLayout/blob/master/checkstyle.xml
https://github.com/f2prateek/rx-preferences,1537,19,5,145,132,https://github.com/f2prateek/rx-preferences/blob/master/checkstyle.xml
https://github.com/SpongePowered/Mixin,1443,97,15,820,194,https://github.com/SpongePowered/Mixin/blob/master/checkstyle.xml
https://github.com/jodconverter/jodconverter,1428,29,0,1139,288,https://github.com/jodconverter/jodconverter/blob/master/checkstyle.xml
https://github.com/square/phrase,1403,6,4,62,126,https://github.com/square/phrase/blob/master/checkstyle.xml
https://github.com/googleapis/google-http-java-client,1390,75,17,1482,452,https://github.com/googleapis/google-http-java-client/blob/main/checkstyle.xml
https://github.com/googleapis/google-api-java-client,1351,47,13,1666,700,https://github.com/googleapis/google-api-java-client/blob/main/checkstyle.xml
https://github.com/liaohuqiu/android-GridViewWithHeaderAndFooter,1333,34,3,41,418,https://github.com/liaohuqiu/android-GridViewWithHeaderAndFooter/blob/master/checkstyle.xml
https://github.com/sermant-io/Sermant,1296,28,13,1794,172,https://github.com/sermant-io/Sermant/blob/develop/checkstyle.xml
https://github.com/influxdata/influxdb-java,1185,112,16,1275,478,https://github.com/influxdata/influxdb-java/blob/master/checkstyle.xml
https://github.com/liaohuqiu/cube-sdk,1184,47,2,267,441,https://github.com/liaohuqiu/cube-sdk/blob/master/checkstyle.xml
https://github.com/vojtechhabarta/typescript-generator,1160,122,26,896,238,https://github.com/vojtechhabarta/typescript-generator/blob/main/checkstyle.xml
https://github.com/iotaledger/iri,1151,423,39,2701,370,https://github.com/iotaledger/iri/blob/dev/checkstyle.xml
https://github.com/SkriptLang/Skript,1094,582,104,3832,372,https://github.com/SkriptLang/Skript/blob/master/checkstyle.xml
https://github.com/sockeqwe/fragmentargs,1075,19,5,182,87,https://github.com/sockeqwe/fragmentargs/blob/master/checkstyle.xml
https://github.com/Card-Forge/forge,1056,352,28,69636,574,https://github.com/Card-Forge/forge/blob/master/checkstyle.xml
https://github.com/zalando/nakadi,958,46,10,6019,292,https://github.com/zalando/nakadi/blob/master/checkstyle.xml
https://github.com/PureWriter/ToastCompat,923,8,0,32,109,https://github.com/PureWriter/ToastCompat/blob/master/checkstyle.xml
https://github.com/apache/james-project,904,15,15,15972,473,https://github.com/apache/james-project/blob/master/checkstyle.xml
https://github.com/fm-sys/snapdrop-android,898,16,6,552,62,https://github.com/fm-sys/snapdrop-android/blob/master/checkstyle.xml
https://github.com/java110/MicroCommunity,873,9,2,9368,384,https://github.com/java110/MicroCommunity/blob/master/checkstyle.xml
