file,ref_col,pred_col,n_pairs,ROUGE-1,ROUGE-2,ROUGE-L,SBERT,BERTScore_P,BERTScore_R,BERTScore_F1
/Users/Yuki/Prj_multi_agent_git/Metagente-noR/METAGENTE/result/parallel/noR_600.csv,description_short,generated_about,600,0.378 ± 0.168,0.138 ± 0.148,0.314 ± 0.156,0.646 ± 0.143,0.619 ± 0.085,0.622 ± 0.092,0.619 ± 0.083
/Users/Yuki/Prj_multi_agent_git/Metagente-noR/METAGENTE/result/parallel/noR2_600.csv,description_short,generated_about,600,0.392 ± 0.171,0.157 ± 0.164,0.326 ± 0.165,0.657 ± 0.138,0.627 ± 0.083,0.645 ± 0.094,0.635 ± 0.083
/Users/Yuki/Prj_multi_agent_git/Metagente-noR/METAGENTE/result/parallel/noR3_600.csv,description_short,generated_about,600,0.418 ± 0.195,0.196 ± 0.210,0.358 ± 0.196,0.666 ± 0.153,0.648 ± 0.101,0.653 ± 0.110,0.649 ± 0.099
MACRO across files,-,-,1800,0.396 ± 0.020,0.164 ± 0.029,0.332 ± 0.023,0.656 ± 0.010,0.631 ± 0.015,0.640 ± 0.016,0.634 ± 0.015
