file,ref_col,pred_col,n_pairs,ROUGE-1,ROUGE-2,ROUGE-L,SBERT,BERTScore_P,BERTScore_R,BERTScore_F1
/Users/Yuki/Prj_multi_agent_git/Metagente-ollama/METAGENTE/result/parallel/07/Mistral_1.csv,description_short,generated_about,600,0.375 ± 0.162,0.137 ± 0.148,0.310 ± 0.151,0.651 ± 0.138,0.617 ± 0.084,0.626 ± 0.091,0.620 ± 0.082
/Users/Yuki/Prj_multi_agent_git/Metagente-ollama/METAGENTE/result/parallel/07/Mistral_2.csv,description_short,generated_about,600,0.358 ± 0.137,0.127 ± 0.124,0.290 ± 0.126,0.663 ± 0.140,0.613 ± 0.071,0.667 ± 0.087,0.638 ± 0.074
/Users/Yuki/Prj_multi_agent_git/Metagente-ollama/METAGENTE/result/parallel/07/Mistral_3.csv,description_short,generated_about,600,0.362 ± 0.149,0.132 ± 0.134,0.295 ± 0.138,0.660 ± 0.139,0.609 ± 0.074,0.656 ± 0.087,0.630 ± 0.074
MACRO across files,-,-,1800,0.365 ± 0.009,0.132 ± 0.005,0.298 ± 0.010,0.658 ± 0.006,0.613 ± 0.004,0.650 ± 0.021,0.629 ± 0.009
