file,ref_col,pred_col,n_pairs,ROUGE-1,ROUGE-2,ROUGE-L
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/OG_1_600.csv,Description,Generated About,600,0.390,0.170,0.333
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/OG_2_600.csv,description_short,generated_about,600,0.373,0.139,0.313
/Users/Yuki/Prj_multi_agent_git/Metagente/METAGENTE/result/parallel/OG_3_600.csv,description_short,generated_about,600,0.410,0.188,0.352
MACRO across files,-,-,1800,0.391,0.166,0.333
